,,,under tree,under tree,under tree,under tree,open,open,open,open,open,open,,,,,
,,DEPTHS( cm),5,5,10,20,5,10,20,70,100,130,,,,,
Year,DOY,precip (mm),vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,averageShallow,averageDeep,shallowMinusDeep,maxAirTemp,minAirTemp
2015,51,0,0.062409916,0.054805885,0.062831155,0.056511639,0.061608157,0.058198496,0.110965562,0.111588975,0.053919651,0.052611192,0.066761544,0.072706606,-0.005945062,21.32,9.7
2015,52,0,0.060643827,0.054380205,0.061972536,0.055904588,0.060187128,0.057033326,0.110164939,0.110986057,0.054466625,0.052641582,0.065755221,0.072698088,-0.006942867,22.92,8.87
2015,53,0,0.057770112,0.053135506,0.060511858,0.055084943,0.056919299,0.054299415,0.108987301,0.110471792,0.055103295,0.05262881,0.063815491,0.072734632,-0.008919142,22.58,14.81
2015,54,0,0.054853003,0.052083791,0.058964789,0.054303797,0.054862932,0.052335326,0.107799655,0.110029349,0.055829253,0.052616318,0.062171899,0.072824973,-0.010653074,21.26,8.18
2015,55,4.572,0.062612561,0.063441298,0.058065515,0.053715934,0.066927868,0.061808246,0.106387276,0.109667112,0.056620566,0.052650555,0.067565528,0.072979411,-0.005413883,12.98,3.747
2015,56,0,0.066829624,0.067710056,0.058103856,0.053286396,0.074006132,0.069455252,0.106671913,0.109148357,0.057515216,0.052624173,0.070866176,0.073095915,-0.00222974,17.16,2.284
2015,57,0,0.063920663,0.060856133,0.057256462,0.052809876,0.068870283,0.066219275,0.107340037,0.108843353,0.058414222,0.052703054,0.068181818,0.07332021,-0.005138391,22.02,5.513
2015,58,0,0.061994966,0.056806567,0.056284391,0.052284203,0.064812459,0.063257111,0.107311473,0.108401464,0.059373448,0.052754788,0.06610731,0.0735099,-0.00740259,21.11,7.043
2015,59,0,0.0601968,0.054695071,0.055639187,0.051909121,0.06141803,0.060468178,0.106853361,0.107828498,0.06036915,0.052800407,0.06445425,0.073666018,-0.009211769,19.71,12.31
2015,60,0,0.058363089,0.053477643,0.055052401,0.051484694,0.058685275,0.057956989,0.106230272,0.107179378,0.061351154,0.052797974,0.063035766,0.073776169,-0.010740403,22.23,9.7
2015,61,6.096,0.060999452,0.059642946,0.056373003,0.051022336,0.06317365,0.061622886,0.105065009,0.106691312,0.062350763,0.052755275,0.065414183,0.07393245,-0.008518267,18.35,8.28
2015,62,0.254,0.07254723,0.079534066,0.061808531,0.050941167,0.087530187,0.085761546,0.108115361,0.106106532,0.063316385,0.052755598,0.078034013,0.074059505,0.003974507,15.58,5.235
2015,63,0,0.068218466,0.06847412,0.059374918,0.050682698,0.080654252,0.082447626,0.111353958,0.105543712,0.064181982,0.052832039,0.074458006,0.074185911,0.000272095,14.89,4.906
2015,64,0,0.065700111,0.062059454,0.057810789,0.050405097,0.075945994,0.07788935,0.112063291,0.105251132,0.065019372,0.052854858,0.071696298,0.074375121,-0.002678823,19.88,4.067
2015,65,0,0.063948398,0.057678667,0.056387434,0.050119214,0.07131921,0.072945625,0.111744331,0.104877467,0.065711614,0.052899504,0.069163268,0.074496195,-0.005332927,22.9,9.16
2015,66,0,0.062447619,0.05492825,0.055253691,0.049804867,0.067242148,0.068393361,0.110786385,0.104322046,0.066371372,0.052932208,0.066979474,0.074541875,-0.007562401,23.34,11.06
2015,67,0,0.060729105,0.053202891,0.05435589,0.049463195,0.064151368,0.064676572,0.109708136,0.103761979,0.067051282,0.052917973,0.06518388,0.074577078,-0.009393198,22.23,8.13
2015,68,0,0.058413647,0.05170638,0.053447762,0.049011888,0.060956743,0.061328836,0.108482289,0.103294006,0.067675708,0.052868361,0.063335363,0.074612692,-0.011277328,23.29,9.04
2015,69,0,0.055788899,0.050531225,0.052610945,0.048565485,0.057697024,0.058218338,0.107290736,0.102859984,0.0682048,0.052812183,0.06152895,0.074625656,-0.013096705,24.22,9.71
2015,70,0,0.052888177,0.049509133,0.051827147,0.04810189,0.0545429,0.055317368,0.106016664,0.102426952,0.068732551,0.052844847,0.059743326,0.074668117,-0.014924791,26.18,12.22
2015,71,0,0.050102455,0.048803755,0.051105414,0.047766521,0.052107243,0.052731281,0.104606097,0.102070773,0.069269826,0.052835506,0.058174681,0.074725369,-0.016550688,23.45,14.7
2015,72,0,0.04816589,0.048287411,0.05031974,0.047483384,0.050497093,0.050965105,0.103404935,0.101579653,0.069669963,0.052805434,0.057017651,0.074685017,-0.017667365,24.16,12.61
2015,73,0,0.046257816,0.047380112,0.049068851,0.047030287,0.048206147,0.048839506,0.102258446,0.101077379,0.070019371,0.052778869,0.055577309,0.074625206,-0.019047897,23.98,13.74
2015,74,0,0.044204586,0.046239875,0.047538847,0.04658951,0.045502485,0.046339665,0.101116136,0.100600955,0.070464156,0.052732852,0.053933015,0.074599321,-0.020666306,23.63,13.86
